De: Loli Marco <aprovisionamiento@cashvegabaja.example>
Para: Pedidos Marjal Blanca <pedidos@marjalblanca.example>
Fecha: jueves, 3 sept 2026, 10:05
Asunto: Pedido 20260903 Cash Vega Baja – exportación sistema

Hola Marisa, adjunto el pedido exportado del sistema, formato de siempre. Entrega el 08/09 a partir de las 6:00 en la rampa 2.
Loli

--- pedido_cash_20260903.csv ---
codigo_proveedor;descripcion;cajas;precio_caja;importe;fecha_entrega
CONS-ATUN-OL-120;ATUN CLARO AC OLIVA RO120;80;23,76;1900,80;08/09/2026
CONS-ATUN-GI-120;ATUN CLARO AC GIRASOL RO120;60;20,52;1231,20;08/09/2026
CONS-ATUN-NA-120;ATUN CLARO NATURAL RO120;40;21,17;846,80;08/09/2026
CONS-SARD-TO-120;SARDINA TOMATE RR125;30;17,93;537,90;08/09/2026
CONS-CABA-OL-120;CABALLA AC OLIVA RO120;30;19,44;583,20;08/09/2026
CONS-ALCA-CO-T370;ALCACHOFA CORAZON TARRO 370;40;24,30;972,00;08/09/2026
CONS-PIQU-TI-T370;PIQUILLO TIRAS TARRO 370;24;20,52;492,48;08/09/2026
CONS-ACEI-VE-T370;ACEITUNA VERDE MANZ TARRO 370;36;13,50;486,00;08/09/2026
;TOTAL CAJAS;340;;7050,38;
--- fin ---
