referencia;descripcion;formato;uds_por_caja;cajas_por_pale;precio_caja_general;precio_caja_serrano;precio_caja_cascales;precio_caja_mediterraneo;precio_caja_cash
CONS-ATUN-OL-120;Atún claro en aceite de oliva;Lata RO-120 (120 g / 85 g esc.);24;90;26,40;24,29;23,23;25,08;23,76
CONS-ATUN-OL-P3;Atún claro en aceite de oliva pack 3;Pack 3 latas RO-80 (3 x 80 g);16;90;28,80;26,50;25,34;27,36;25,92
CONS-ATUN-GI-120;Atún claro en aceite de girasol;Lata RO-120 (120 g / 85 g esc.);24;90;22,80;20,98;20,06;21,66;20,52
CONS-ATUN-NA-120;Atún claro al natural;Lata RO-120 (120 g / 85 g esc.);24;90;23,52;21,64;20,70;22,34;21,17
CONS-ATUN-ES-120;Atún claro en escabeche;Lata RO-120 (120 g / 85 g esc.);24;90;24,00;22,08;21,12;22,80;21,60
CONS-ATUN-OL-1K;Atún claro en aceite de oliva hostelería;Lata 1 kg (1000 g / 700 g esc.);6;60;47,40;43,61;41,71;45,03;42,66
CONS-BONI-OL-120;Bonito del norte en aceite de oliva;Lata RO-120 (120 g / 85 g esc.);24;90;41,76;38,42;36,75;39,67;37,58
CONS-BONI-OL-220;Bonito del norte en aceite de oliva;Lata RO-220 (220 g / 160 g esc.);12;72;37,20;34,22;32,74;35,34;33,48
CONS-BONI-OL-T400;Bonito del norte en aceite de oliva;Tarro cristal 400 g;12;60;58,80;54,10;51,74;55,86;52,92
CONS-MELV-OL-120;Melva canutera en aceite de oliva;Lata RO-120 (120 g / 85 g esc.);24;90;29,28;26,94;25,77;27,82;26,35
CONS-CABA-OL-120;Caballa del sur en aceite de oliva;Lata RO-120 (120 g / 85 g esc.);24;90;21,60;19,87;19,01;20,52;19,44
CONS-SARD-OL-120;Sardinillas en aceite de oliva;Lata RR-125 (125 g / 90 g esc.);24;90;30,24;27,82;26,61;28,73;27,22
CONS-SARD-TO-120;Sardinas en tomate;Lata RR-125 (125 g / 90 g esc.);24;90;19,92;18,33;17,53;18,92;17,93
CONS-ANCH-OL-50;Filetes de anchoa en aceite de oliva;Lata 50 g (29 g esc.);24;120;52,80;48,58;46,46;50,16;47,52
CONS-MEJI-ES-120;Mejillones en escabeche 8/12 piezas;Lata RR-125 (115 g / 69 g esc.);24;90;34,08;31,35;29,99;32,38;30,67
CONS-BERB-NA-120;Berberechos al natural 40/50 piezas;Lata RR-125 (115 g / 63 g esc.);24;90;66,00;60,72;58,08;62,70;59,40
CONS-CALA-TI-120;Calamares en su tinta;Lata RR-125 (115 g / 72 g esc.);24;90;28,56;26,28;25,13;27,13;25,70
CONS-PULP-OL-120;Pulpo en aceite de oliva;Lata RR-125 (115 g / 72 g esc.);24;90;60,96;56,08;53,64;57,91;54,86
CONS-ALCA-CO-T370;Corazones de alcachofa de la Vega Baja;Tarro cristal 370 ml (350 g / 200 g esc.);12;84;27,00;24,84;23,76;25,65;24,30
CONS-ALCA-CO-T720;Corazones de alcachofa de la Vega Baja;Tarro cristal 720 ml (660 g / 400 g esc.);6;60;23,40;21,53;20,59;22,23;21,06
CONS-ALCA-CO-3K;Corazones de alcachofa hostelería;Lata 3 kg (2.500 g / 1.500 g esc.);4;48;34,80;32,02;30,62;33,06;31,32
CONS-ALCA-FO-T370;Fondos de alcachofa;Tarro cristal 370 ml (350 g / 200 g esc.);12;84;31,80;29,26;27,98;30,21;28,62
CONS-PIQU-EN-T370;Pimientos del piquillo enteros;Tarro cristal 370 ml (350 g / 220 g esc.);12;84;25,20;23,18;22,18;23,94;22,68
CONS-PIQU-TI-T370;Pimientos del piquillo en tiras;Tarro cristal 370 ml (350 g / 220 g esc.);12;84;22,80;20,98;20,06;21,66;20,52
CONS-PIQU-EN-3K;Pimientos del piquillo enteros hostelería;Lata 3 kg (2.500 g / 1.800 g esc.);4;48;33,60;30,91;29,57;31,92;30,24
CONS-TOMA-TR-T720;Tomate triturado;Tarro cristal 720 ml (700 g);6;60;9,90;9,11;8,71;9,40;8,91
CONS-TOMA-TR-3K;Tomate triturado hostelería;Lata 3 kg;4;48;14,40;13,25;12,67;13,68;12,96
CONS-TOMA-FR-T370;Tomate frito con aceite de oliva;Tarro cristal 370 ml (350 g);12;84;16,20;14,90;14,26;15,39;14,58
CONS-TOMA-FR-3K;Tomate frito hostelería;Lata 3 kg;4;48;17,60;16,19;15,49;16,72;15,84
CONS-HABI-BA-T370;Habitas baby en aceite de oliva;Tarro cristal 370 ml (350 g / 200 g esc.);12;84;39,60;36,43;34,85;37,62;35,64
CONS-JUDI-VE-T720;Judías verdes planas;Tarro cristal 720 ml (660 g / 350 g esc.);6;60;12,60;11,59;11,09;11,97;11,34
CONS-GARB-CO-T720;Garbanzos cocidos;Tarro cristal 720 ml (660 g / 400 g esc.);6;60;9,30;8,56;8,18;8,84;8,37
CONS-LENT-CO-T720;Lentejas cocidas;Tarro cristal 720 ml (660 g / 400 g esc.);6;60;9,30;8,56;8,18;8,84;8,37
CONS-ALUB-CO-T720;Alubias blancas cocidas;Tarro cristal 720 ml (660 g / 400 g esc.);6;60;9,60;8,83;8,45;9,12;8,64
CONS-PIST-VE-T370;Pisto de verduras;Tarro cristal 370 ml (350 g);12;84;21,00;19,32;18,48;19,95;18,90
CONS-ACEI-VE-T370;Aceitunas verdes manzanilla con hueso;Tarro cristal 370 ml (350 g / 200 g esc.);12;84;15,00;13,80;13,20;14,25;13,50
CONS-ACEI-NE-T370;Aceitunas negras aragón;Tarro cristal 370 ml (350 g / 200 g esc.);12;84;16,80;15,46;14,78;15,96;15,12
CONS-ALCP-EN-T200;Alcaparras en vinagre;Tarro cristal 200 ml (180 g / 100 g esc.);12;96;19,20;17,66;16,90;18,24;17,28
CONS-NORA-SE-B100;Ñoras secas de la Vega Baja;Bolsa 100 g;20;40;33,00;30,36;29,04;31,35;29,70
CONS-DATI-EL-B250;Dátil de Elche deshuesado;Bandeja 250 g;12;60;42,00;38,64;36,96;39,90;37,80
